Contract,MonthlyCharges,TotalCharges,poly_tenure MonthlyCharges,poly_tenure TotalCharges,poly_MonthlyCharges^2,poly_MonthlyCharges TotalCharges,poly_TotalCharges^2,tenure_x_monthly,monthly_x_total,tenure_x_total,AvgMonthlyCharge,StabilityIndex,log_TotalCharges,normalized_tenure,normalized_StabilityIndex,standardized_MonthlyCharges,standardized_AvgMonthlyCharge,label_Contract,freq_PaymentMethod,customerID,Churn
2.0,94.55,6078.75,6145.75,395118.75,8939.7025,574745.8125,36951201.5625,6145.75,574745.8125,395118.75,93.51923076923077,130.0,8.712718855693774,0.9014084507042254,0.9020979020979021,0.9815557839637743,0.9437613778746228,2.0,0.216,1830-GGFNM,No
0.0,35.75,1022.5,929.5,26585.0,1278.0625,36554.375,1045506.25,929.5,36554.375,26585.0,39.32692307692308,26.0,6.930983405101344,0.35211267605633806,0.17482517482517482,-0.9715455124063844,-0.8492979951527723,0.0,0.3390222222222222,4501-VCPFK,No
2.0,90.2,6297.65,6133.6,428240.19999999995,8136.040000000001,568048.03,39660395.52249999,6133.6,568048.03,428240.19999999995,92.6125,136.0,8.748090603702874,0.943661971830986,0.9440559440559441,0.8370661472425127,0.913760402204558,2.0,0.216,8871-JLMHM,No
0.0,84.3,235.05,252.89999999999998,705.1500000000001,7106.49,19814.715,55248.5025,252.89999999999998,19814.715,705.1500000000001,78.35000000000001,3.0,5.4640436469922955,0.02816901408450704,0.013986013986013988,0.6410916974366633,0.44185746252898445,0.0,0.3390222222222222,0225-ZORZP,No
0.0,40.65,2070.75,1991.85,101466.75,1652.4225,84175.9875,4288005.5625,1991.85,84175.9875,101466.75,42.26020408163265,49.0,7.636148939729152,0.676056338028169,0.3356643356643357,-0.8087870710422046,-0.7522446083680594,0.0,0.21955555555555556,1530-ZTDOZ,No
1.0,97.0,6430.9,6208.0,411577.6,9409.0,623797.2999999999,41356474.809999995,6208.0,623797.2999999999,411577.6,100.4828125,96.0,8.76902526347426,0.8873239436619719,0.6643356643356644,1.0629350046458643,1.174165212365148,1.0,0.21955555555555556,4654-DLAMQ,No
0.0,64.3,445.95,450.09999999999997,3121.65,4134.49,28674.585,198871.4025,450.09999999999997,28674.585,3121.65,63.707142857142856,7.0,6.1024467315338615,0.08450704225352114,0.04195804195804196,-0.023228471396724102,-0.042630343322988686,0.0,0.21955555555555556,7319-VENRZ,No
0.0,93.2,2157.3,2050.4,47460.600000000006,8686.24,201060.36000000002,4653943.290000001,2050.4,201060.36000000002,47460.600000000006,98.05909090909091,22.0,7.677076153764925,0.295774647887324,0.14685314685314685,0.9367141725675209,1.0939716036916929,0.0,0.22542222222222222,5482-VXSXJ,No
0.0,54.35,1647.0,1684.8500000000001,51057.0,2953.9225,89514.45,2712609.0,1684.8500000000001,89514.45,51057.0,53.12903225806452,31.0,7.4073177104694174,0.4225352112676057,0.20979020979020976,-0.35372775539133416,-0.3926279936590738,0.0,0.22542222222222222,5012-YSPJJ,No
0.0,47.95,305.1,287.70000000000005,1830.6000000000001,2299.2025000000003,14629.545000000002,93086.01000000001,287.70000000000005,14629.545000000002,1830.6000000000001,50.85,6.0,5.723911845951367,0.07042253521126761,0.03496503496503497,-0.5663102094180181,-0.46803427041252565,0.0,0.3390222222222222,9239-ZBZZV,Yes
0.0,19.2,19.2,19.2,19.2,368.64,368.64,368.64,19.2,368.64,19.2,19.2,1.0,3.005682604407159,0.0,0.0,-1.5212704521160125,-1.515236937597936,0.0,0.22542222222222222,3308-MHOOC,No
0.0,79.05,434.5,474.29999999999995,2607.0,6248.902499999999,34347.225,188790.25,474.29999999999995,34347.225,2607.0,72.41666666666667,6.0,6.0764947962925575,0.07042253521126761,0.03496503496503497,0.4667076531178991,0.2455414280276646,0.0,0.3390222222222222,6400-BWQKW,Yes
0.0,79.8,1001.2,957.5999999999999,12014.400000000001,6368.04,79895.76,1002401.4400000001,957.5999999999999,79895.76,12014.400000000001,83.43333333333334,12.0,6.909952862525624,0.15492957746478872,0.07692307692307693,0.4916196594491511,0.6100495707393846,0.0,0.3390222222222222,8104-OSKWT,No
0.0,106.35,6751.35,6487.349999999999,411832.35000000003,11310.322499999998,718006.0725,45580726.822500005,6487.349999999999,718006.0725,411832.35000000003,110.67786885245903,61.0,8.817645871425219,0.8450704225352113,0.4195804195804196,1.3735046835754727,1.5114887575278861,0.0,0.3390222222222222,4220-TINQT,No
2.0,19.65,779.25,844.9499999999999,33507.75,386.12249999999995,15312.262499999999,607230.5625,844.9499999999999,15312.262499999999,33507.75,18.122093023255815,86.0,6.659614381150889,0.5915492957746479,0.5944055944055944,-1.5063232483172613,-1.5509016156713729,2.0,0.21955555555555556,1985-MBRYP,No
0.0,40.3,1172.95,1209.0,35188.5,1624.0899999999997,47269.885,1375811.7025000001,1209.0,47269.885,35188.5,39.098333333333336,30.0,7.068129410043267,0.4084507042253521,0.20279720279720279,-0.820412673996789,-0.8568613376228642,0.0,0.3390222222222222,9667-EQRXU,Yes
1.0,55.15,1193.05,1213.3,26247.1,3041.5225,65796.70749999999,1423368.3025,1213.3,65796.70749999999,26247.1,54.22954545454545,33.0,7.085106169122671,0.295774647887324,0.22377622377622378,-0.32715494863799877,-0.3562153442237634,1.0,0.216,4576-CSAJH,Yes
2.0,23.05,1255.1,1198.6000000000001,65265.2,531.3025,28930.055,1575276.0099999998,1198.6000000000001,28930.055,65265.2,24.13653846153846,104.0,7.135766961693207,0.7183098591549296,0.7202797202797203,-1.3933888196155855,-1.3519018272160581,2.0,0.22542222222222222,1207-BLKSA,No
0.0,56.25,56.25,56.25,56.25,3164.0625,3164.0625,3164.0625,56.25,3164.0625,56.25,56.25,1.0,4.047427642434349,0.0,0.0,-0.29061733935216244,-0.28936462103492017,0.0,0.3390222222222222,5909-ECHUI,Yes
1.0,94.7,5468.95,5397.900000000001,311730.14999999997,8968.09,517909.565,29909414.1025,5397.900000000001,517909.565,311730.14999999997,95.94649122807017,85.5,8.607024754606424,0.7887323943661972,0.5909090909090909,0.9865381852300249,1.0240720769725786,1.0,0.3390222222222222,2972-YDYUW,No
2.0,54.2,3937.45,3902.4,283496.39999999997,2937.6400000000003,213409.79,15503512.5025,3902.4,213409.79,283496.39999999997,54.68680555555555,144.0,8.27854252387427,1.0,1.0,-0.35871015665758454,-0.3410859920160147,2.0,0.3390222222222222,6034-ZRYCV,Yes
0.0,103.8,4327.5,4359.599999999999,181755.0,10774.439999999999,449194.5,18727256.25,4359.599999999999,449194.5,181755.0,103.03571428571429,42.0,8.372976340655828,0.5774647887323944,0.2867132867132867,1.288803862049216,1.2586330025408956,0.0,0.21955555555555556,9919-YLNNG,No
0.0,19.8,272.95,297.0,4094.25,392.04,5404.41,74501.7025,297.0,5404.41,4094.25,18.196666666666665,15.0,5.612945607984424,0.19718309859154928,0.0979020979020979,-1.501340847051011,-1.5484341996119235,0.0,0.22542222222222222,5384-ZTTWP,No
0.0,81.05,5135.35,5187.2,328662.4,6569.1025,416220.1175,26371819.622500002,5187.2,416220.1175,328662.4,80.23984375,64.0,8.544097989465381,0.8873239436619719,0.4405594405594406,0.5331396700012379,0.5043866699717546,0.0,0.3390222222222222,2250-IVBWA,No
1.0,84.95,4018.05,3992.65,188848.35,7216.5025000000005,341333.34750000003,16144725.802500002,3992.65,341333.34750000003,188848.35,85.4904255319149,70.5,8.298800835277511,0.647887323943662,0.48601398601398604,0.6626821029237485,0.6781125229353058,1.0,0.21955555555555556,9978-HYCIN,No
0.0,29.05,44.75,58.1,89.5,843.9025,1299.9875,2002.5625,58.1,1299.9875,89.5,22.375,2.0,3.82319179172153,0.014084507042253521,0.006993006993006993,-1.1940927689655694,-1.4101858011583255,0.0,0.21955555555555556,6022-KOUQO,No
0.0,20.2,20.2,20.2,20.2,408.03999999999996,408.03999999999996,408.03999999999996,20.2,408.03999999999996,20.2,20.2,1.0,3.054001181677967,0.0,0.0,-1.488054443674343,-1.482149965490972,0.0,0.22542222222222222,6380-ARCEH,No
