tenure,OnlineSecurity,TechSupport,Contract,poly_tenure^2,poly_tenure TotalCharges,tenure_x_total,StabilityIndex,log_TotalCharges,normalized_tenure,normalized_StabilityIndex,onehot_InternetService_Fiber optic,onehot_InternetService_No,onehot_PaymentMethod_Electronic check,label_Contract,freq_PaymentMethod,equal_freq_TotalCharges,custom_tenure_bins,binned_custom_tenure_bins_0,binned_custom_tenure_bins_4,customerID,Churn
65,2,2,2,4225.0,395118.75,395118.75,130.0,8.712718855693774,0.9014084507042254,0.9020979020979021,True,False,False,2,0.216,3.0,4,False,True,1830-GGFNM,No
26,0,2,0,676.0,26585.0,26585.0,26.0,6.930983405101344,0.35211267605633806,0.17482517482517482,False,False,True,0,0.3390222222222222,1.0,3,False,False,4501-VCPFK,No
68,0,2,2,4624.0,428240.19999999995,428240.19999999995,136.0,8.748090603702874,0.943661971830986,0.9440559440559441,True,False,False,2,0.216,3.0,4,False,True,8871-JLMHM,No
3,0,0,0,9.0,705.1500000000001,705.1500000000001,3.0,5.4640436469922955,0.02816901408450704,0.013986013986013988,True,False,True,0,0.3390222222222222,0.0,0,True,False,0225-ZORZP,No
49,2,0,0,2401.0,101466.75,101466.75,49.0,7.636148939729152,0.676056338028169,0.3356643356643357,False,False,False,0,0.21955555555555556,2.0,4,False,True,1530-ZTDOZ,No
64,2,0,1,4096.0,411577.6,411577.6,96.0,8.76902526347426,0.8873239436619719,0.6643356643356644,True,False,False,1,0.21955555555555556,3.0,4,False,True,4654-DLAMQ,No
7,0,2,0,49.0,3121.65,3121.65,7.0,6.1024467315338615,0.08450704225352114,0.04195804195804196,False,False,False,0,0.21955555555555556,1.0,1,False,False,7319-VENRZ,No
22,0,0,0,484.0,47460.600000000006,47460.600000000006,22.0,7.677076153764925,0.295774647887324,0.14685314685314685,True,False,False,0,0.22542222222222222,2.0,2,False,False,5482-VXSXJ,No
31,0,2,0,961.0,51057.0,51057.0,31.0,7.4073177104694174,0.4225352112676057,0.20979020979020976,False,False,False,0,0.22542222222222222,2.0,3,False,False,5012-YSPJJ,No
6,0,0,0,36.0,1830.6000000000001,1830.6000000000001,6.0,5.723911845951367,0.07042253521126761,0.03496503496503497,False,False,True,0,0.3390222222222222,0.0,0,True,False,9239-ZBZZV,Yes
